region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long,in_the_box,in_shapefile,in_reg
Phil,1905-0004-PHL,1905,0004,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1905,9,21,1905,9,21,240,NA,NA,NA,NA,NA,NA,NA,3.5223001018494,central,7.07306,125.61278,TRUE,FALSE,FALSE
Phil,1912-0010-PHL,1912,0010,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,SigDam,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1912,10,NA,1912,10,NA,NA,NA,NA,NA,NA,NA,NA,10000,3.7832112205049,cebu,10.31672,123.89071,TRUE,FALSE,FALSE
Phil,1931-0008-PHL,1931,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1931,8,7,1931,8,7,NA,NA,NA,NA,NA,NA,NA,NA,5.9618190612784,west luzon,15.55694,120.46448,FALSE,FALSE,FALSE
Phil,1932-0003-PHL,1932,0003,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1932,4,29,1932,4,29,147,NA,NA,2500,2500,NA,NA,NA,5.348677932438,sulu,6.05222,121.00222,FALSE,FALSE,FALSE
Phil,1934-0010-PHL,1934,0010,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1934,10,15,1934,10,15,NA,NA,NA,NA,NA,NA,NA,NA,5.2443134849758,manila,14.6042,120.9822,FALSE,FALSE,FALSE
Phil,1934-0010-PHL,1934,0010,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1934,10,15,1934,10,15,NA,NA,NA,NA,NA,NA,NA,NA,5.2443134849758,bulcan,NA,NA,NA,NA,NA
Phil,1934-0011-PHL,1934,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1934,11,10,1934,11,10,85,NA,NA,NA,NA,NA,NA,NA,5.2443134849758,samar,11.93353,125.03403,TRUE,TRUE,TRUE
Phil,1934-0011-PHL,1934,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1934,11,10,1934,11,10,85,NA,NA,NA,NA,NA,NA,NA,5.2443134849758,tayabas,14.0259,121.5929,TRUE,TRUE,TRUE
Phil,1936-0008-PHL,1936,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1936,10,5,1936,10,5,517,NA,NA,NA,NA,NA,NA,NA,5.4399968239674,luzon,16,121,TRUE,FALSE,FALSE
Phil,1937-0007-PHL,1937,0007,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1937,11,15,1937,11,15,231,NA,NA,NA,NA,NA,NA,NA,5.6356801629591,leyte,10.83267,124.83537,TRUE,TRUE,TRUE
